prices,market_caps,total_volumes,date,year
2.9367,0.0,82413981.29681122,2020-08-19 00:00:00,2020
2.9367,0.0,82413981.29681122,2020-08-20 00:00:00,2020
2.8988,0.0,49511744.88463916,2020-08-21 00:00:00,2020
2.8719,0.0,51233752.827103466,2020-08-22 00:00:00,2020
4.4814,4028277492.3881054,473920951.2911821,2020-08-23 00:00:00,2020
3.9661,3630430965.6868463,335685225.4482104,2020-08-24 00:00:00,2020
4.5769,4162344881.7015166,395502571.8989607,2020-08-25 00:00:00,2020
5.4939,4910960800.05402,729611892.217292,2020-08-26 00:00:00,2020
6.0677,5508438431.636099,853376793.3117362,2020-08-27 00:00:00,2020
5.6385000000000005,5147685413.841153,995432623.197182,2020-08-28 00:00:00,2020
6.1623,5563188700.133332,584978197.1298553,2020-08-29 00:00:00,2020
6.1485,5580674883.763024,407313299.8601509,2020-08-30 00:00:00,2020
5.9018,5350103716.769489,366896197.48982257,2020-08-31 00:00:00,2020
6.2988,5712939724.608923,430398059.7192618,2020-09-01 00:00:00,2020
6.2296,5693335995.934683,472601408.55368245,2020-09-02 00:00:00,2020
6.1589,5597505846.232816,485766767.0734896,2020-09-03 00:00:00,2020
5.6834,5294708814.664548,630783985.0451007,2020-09-04 00:00:00,2020
5.134,4675680671.656081,676657581.6459368,2020-09-05 00:00:00,2020
4.1302,3750820473.971468,595268790.8541288,2020-09-06 00:00:00,2020
4.7896,4394131227.7377405,511543436.75403696,2020-09-07 00:00:00,2020
4.5949,4190737575.784357,365705934.9831117,2020-09-08 00:00:00,2020
4.2825,3891004373.7933345,234920666.902606,2020-09-09 00:00:00,2020
4.7031,4298181268.775718,274399152.6284701,2020-09-10 00:00:00,2020
4.5778,4177237545.060083,254092704.72602594,2020-09-11 00:00:00,2020
4.6259,4216287873.46031,212155209.23847777,2020-09-12 00:00:00,2020
5.1393,4663414090.094169,317307477.3197743,2020-09-13 00:00:00,2020
5.2948,4819470920.9595585,413410119.80475265,2020-09-14 00:00:00,2020
